	ProductionUnitId	BatchId	Item	QuantityProduced	QuantityDiscarded	DefectiveQuantitySold
155	P702	ln367	rock	271	132	0.0
156	P111	av834	scissor	25	9	0.0
157	P111	av834	paper	42	1	0.0
158	P111	av834	rock	75	6	0.0
159	P954	qb327	scissor	135	6	37.0
160	P954	qb327	paper	80	23	9.0
161	P954	qb327	rock	101	16	0.0
162	P104	xk892	scissor	224	103	35.0
163	P104	xk892	paper	127	115	0.0
164	P104	xk892	rock	172	140	0.0
165	P416	ih010	scissor	200	30	0.0
166	P416	ih010	paper	387	14	0.0
167	P416	ih010	rock	202	68	73.0
168	P004	nz129	scissor	175	22	0.0
169	P004	nz129	paper	126	1	5.0
170	P004	nz129	rock	60	10	43.0
171	P729	be903	scissor	109	2	15.0
172	P729	be903	paper	92	47	0.0
173	P729	be903	rock	198	12	50.0
174	P053	fz744	scissor	164	115	0.0
175	P053	fz744	paper	177	71	0.0
176	P053	fz744	rock	29	14	0.0
177	P946	jq934	scissor	135	24	0.0
178	P946	jq934	paper	243	73	0.0
179	P946	jq934	rock	176	48	0.0
180	P001	vc318	scissor	174	114	0.0
181	P001	vc318	paper	223	50	62.0
182	P001	vc318	rock	183	46	0.0
183	P135	lj246	scissor	149	5	0.0
184	P135	lj246	paper	248	8	38.0
185	P135	lj246	rock	104	22	0.0
186	P216	ao199	scissor	207	54	34.0
187	P216	ao199	paper	107	11	25.0
188	P216	ao199	rock	200	52	0.0
189	P135	qb525	scissor	148	11	0.0
190	P135	qb525	paper	230	32	4.0
191	P135	qb525	rock	192	2	0.0
192	P768	mf321	scissor	150	42	0.0
193	P768	mf321	paper	171	69	43.0
194	P768	mf321	rock	161	28	0.0
195	P501	ak189	scissor	194	64	11.0
196	P501	ak189	paper	188	7	2.0
197	P501	ak189	rock	236	44	31.0
198	P336	uo775	scissor	52	11	21.0
199	P336	uo775	paper	256	154	0.0
200	P336	uo775	rock	171	101	0.0
201	P258	xd630	scissor	88	52	0.0
202	P258	xd630	paper	55	3	37.0
203	P258	xd630	rock	252	7	28.0
204	P062	sk454	scissor	142	50	0.0
205	P062	sk454	paper	56	25	0.0
206	P062	sk454	rock	108	17	0.0
207	P838	fd424	scissor	165	55	0.0
208	P838	fd424	paper	140	81	0.0
209	P838	fd424	rock	85	52	12.0
210	P816	xj166	scissor	222	84	0.0
211	P816	xj166	paper	131	72	15.0
212	P816	xj166	rock	83	1	32.0
213	P468	em250	scissor	27	10	12.0
214	P468	em250	paper	123	39	0.0
215	P468	em250	rock	189	39	0.0
216	P001	aw745	scissor	204	84	28.0
217	P001	aw745	paper	139	12	0.0
218	P001	aw745	rock	75	0	8.0
219	P654	qw926	scissor	221	57	0.0
220	P654	qw926	paper	198	26	0.0
221	P654	qw926	rock	95	9	36.0
222	P720	av906	scissor	94	56	0.0
223	P720	av906	paper	107	57	0.0
224	P720	av906	rock	239	42	28.0
225	P046	ex987	scissor	170	95	0.0
226	P046	ex987	paper	268	31	20.0
227	P046	ex987	rock	251	42	21.0
228	P409	hf554	scissor	211	137	0.0
229	P409	hf554	paper	160	88	39.0
230	P409	hf554	rock	147	16	14.0
231	P789	lu619	scissor	254	28	18.0
232	P789	lu619	paper	257	12	0.0
233	P789	lu619	rock	123	56	0.0
234	P348	ve831	scissor	206	6	0.0
235	P348	ve831	paper	372	49	0.0
236	P348	ve831	rock	145	18	19.0
237	P694	zp324	scissor	326	99	18.0
238	P694	zp324	paper	138	31	20.0
239	P694	zp324	rock	85	20	62.0
240	P152	ka715	scissor	230	127	0.0
241	P152	ka715	paper	153	18	0.0
242	P152	ka715	rock	165	32	0.0
243	P175	yg887	scissor	23	0	0.0
244	P175	yg887	paper	145	72	0.0
245	P175	yg887	rock	120	14	0.0
246	P996	or639	scissor	273	122	0.0
247	P996	or639	paper	155	65	1.0
248	P996	or639	rock	137	9	33.0
249	P835	um102	scissor	328	106	0.0
250	P835	um102	paper	223	88	0.0
251	P835	um102	rock	217	19	3.0
252	P327	cm279	scissor	146	69	0.0
253	P327	cm279	paper	230	78	0.0
254	P327	cm279	rock	72	0	19.0
255	P449	uc469	scissor	273	66	0.0
256	P449	uc469	paper	119	88	0.0
257	P449	uc469	rock	79	2	0.0
258	P766	fm794	scissor	26	0	18.0
259	P766	fm794	paper	141	38	0.0
260	P766	fm794	rock	154	13	0.0
261	P200	wc742	scissor	252	55	0.0
262	P200	wc742	paper	86	6	0.0
263	P200	wc742	rock	230	16	0.0
264	P534	yl833	scissor	175	34	43.0
265	P534	yl833	paper	117	0	2.0
266	P534	yl833	rock	217	102	9.0
267	P594	wl491	scissor	215	154	0.0
268	P594	wl491	paper	58	9	0.0
269	P594	wl491	rock	204	125	0.0
270	P374	oz733	scissor	276	179	40.0
271	P374	oz733	paper	160	76	28.0
272	P374	oz733	rock	49	9	0.0
273	P789	px060	scissor	86	1	12.0
274	P789	px060	paper	201	24	0.0
275	P789	px060	rock	83	13	0.0
276	P987	yo968	scissor	93	25	0.0
277	P987	yo968	paper	261	5	34.0
278	P987	yo968	rock	199	55	58.0
279	P580	do997	scissor	96	11	45.0
280	P580	do997	paper	90	2	35.0
281	P580	do997	rock	211	18	0.0
282	P685	lx102	scissor	185	50	43.0
283	P685	lx102	paper	173	52	55.0
284	P685	lx102	rock	159	25	0.0
285	P047	fu927	scissor	211	43	0.0
286	P047	fu927	paper	187	56	23.0
287	P047	fu927	rock	75	53	0.0
288	P886	td408	scissor	164	11	0.0
289	P886	td408	paper	155	57	32.0
290	P886	td408	rock	78	1	0.0
291	P964	it817	scissor	170	61	42.0
292	P964	it817	paper	240	12	0.0
293	P964	it817	rock	248	83	29.0
294	P908	cj618	scissor	297	119	0.0
295	P908	cj618	paper	147	42	61.0
296	P908	cj618	rock	282	44	0.0
297	P182	ij650	scissor	97	4	48.0
298	P182	ij650	paper	215	3	50.0
299	P182	ij650	rock	124	23	45.0
300	P180	qm921	scissor	238	77	34.0
301	P180	qm921	paper	152	19	0.0
302	P180	qm921	rock	178	18	36.0
303	P175	tq382	scissor	192	23	0.0
304	P175	tq382	paper	183	53	19.0
305	P175	tq382	rock	176	5	0.0
306	P450	qz742	scissor	133	46	0.0
307	P450	qz742	paper	158	98	0.0
308	P450	qz742	rock	21	1	0.0
309	P404	js262	scissor	154	41	34.0
310	P404	js262	paper	152	33	59.0
311	P404	js262	rock	198	33	52.0
312	P732	qj367	scissor	116	25	0.0
313	P732	qj367	paper	277	29	0.0
314	P732	qj367	rock	301	105	27.0
315	P406	dt447	scissor	122	31	42.0
316	P406	dt447	paper	291	18	17.0
317	P406	dt447	rock	248	51	16.0
318	P234	lt562	scissor	222	62	46.0
319	P234	lt562	paper	407	54	42.0
320	P234	lt562	rock	263	21	48.0
321	P843	xd830	scissor	192	80	42.0
322	P843	xd830	paper	74	14	0.0
323	P843	xd830	rock	172	35	0.0
324	P856	ei206	scissor	150	2	18.0
325	P856	ei206	paper	170	0	47.0
326	P856	ei206	rock	261	83	14.0
327	P076	eo306	scissor	171	5	17.0
328	P076	eo306	paper	220	118	0.0
329	P076	eo306	rock	251	102	0.0
330	P104	px887	scissor	155	28	0.0
331	P104	px887	paper	76	16	0.0
332	P104	px887	rock	120	3	0.0
333	P830	rl194	scissor	285	165	41.0
334	P830	rl194	paper	184	10	29.0
335	P830	rl194	rock	241	9	57.0
336	P410	rd212	scissor	121	46	5.0
337	P410	rd212	paper	111	3	29.0
338	P410	rd212	rock	123	26	28.0
339	P767	ab591	scissor	163	8	53.0
340	P767	ab591	paper	66	0	48.0
341	P767	ab591	rock	242	103	0.0
342	P339	ma371	scissor	43	4	0.0
343	P339	ma371	paper	244	114	0.0
344	P339	ma371	rock	231	123	0.0
345	P374	gj928	scissor	68	15	0.0
346	P374	gj928	paper	128	76	0.0
347	P374	gj928	rock	239	50	68.0
348	P734	xw747	scissor	48	30	0.0
349	P734	xw747	paper	161	35	0.0
350	P734	xw747	rock	65	3	33.0
351	P867	yn415	scissor	212	50	80.0
352	P867	yn415	paper	88	32	0.0
353	P867	yn415	rock	178	82	44.0
354	P729	va038	scissor	109	50	4.0
355	P729	va038	paper	174	108	0.0
356	P729	va038	rock	215	176	0.0
357	P383	gl773	scissor	140	7	36.0
358	P383	gl773	paper	185	2	0.0
359	P383	gl773	rock	241	48	19.0
360	P498	zi749	scissor	84	13	0.0
361	P498	zi749	paper	148	48	0.0
362	P498	zi749	rock	155	64	24.0
363	P595	pk393	scissor	203	70	16.0
364	P595	pk393	paper	206	128	0.0
365	P595	pk393	rock	39	1	0.0
366	P316	lb678	scissor	117	15	0.0
367	P316	lb678	paper	155	33	45.0
368	P316	lb678	rock	173	23	2.0
369	P688	ri618	scissor	170	10	0.0
370	P688	ri618	paper	250	66	0.0
371	P688	ri618	rock	180	67	0.0
372	P930	xq429	scissor	90	32	0.0
373	P930	xq429	paper	209	20	0.0
374	P930	xq429	rock	206	78	0.0
375	P233	pf100	scissor	14	2	9.0
376	P233	pf100	paper	71	13	0.0
377	P233	pf100	rock	136	103	0.0
378	P652	pl358	scissor	256	76	0.0
379	P652	pl358	paper	50	32	0.0
380	P652	pl358	rock	173	62	0.0
381	P082	bx924	scissor	245	79	8.0
382	P082	bx924	paper	104	99	0.0
383	P082	bx924	rock	101	8	0.0
384	P058	fj239	scissor	203	18	0.0
385	P058	fj239	paper	264	113	0.0
386	P058	fj239	rock	206	11	0.0
387	P143	nn328	scissor	247	87	49.0
388	P143	nn328	paper	210	17	0.0
389	P143	nn328	rock	243	28	64.0
390	P790	hn564	scissor	181	106	0.0
391	P790	hn564	paper	75	0	0.0
392	P790	hn564	rock	190	128	33.0
393	P255	hx411	scissor	283	112	90.0
394	P255	hx411	paper	228	34	36.0
395	P255	hx411	rock	336	47	81.0
396	P672	ga039	scissor	106	101	0.0
397	P672	ga039	paper	212	25	7.0
398	P672	ga039	rock	233	118	0.0
399	P229	fk321	scissor	269	103	0.0
400	P229	fk321	paper	207	122	0.0
401	P229	fk321	rock	194	7	0.0
402	P344	dl514	scissor	304	29	22.0
403	P344	dl514	paper	220	49	0.0
404	P344	dl514	rock	281	8	9.0
405	P590	um432	scissor	195	95	8.0
406	P590	um432	paper	155	14	0.0
407	P590	um432	rock	186	44	48.0
408	P094	ux393	scissor	290	83	24.0
409	P094	ux393	paper	350	147	7.0
410	P094	ux393	rock	233	29	0.0
411	P812	vu180	scissor	120	15	0.0
412	P812	vu180	paper	140	17	0.0
413	P812	vu180	rock	179	33	0.0
414	P526	kf604	scissor	286	38	0.0
415	P526	kf604	paper	414	77	51.0
416	P526	kf604	rock	287	14	0.0
417	P125	hi463	scissor	205	86	0.0
418	P125	hi463	paper	184	37	0.0
419	P125	hi463	rock	195	25	39.0
420	P868	iw269	scissor	133	96	0.0
421	P868	iw269	paper	264	108	47.0
422	P868	iw269	rock	201	34	12.0
423	P509	wh047	scissor	295	101	81.0
424	P509	wh047	paper	287	5	89.0
425	P509	wh047	rock	414	127	49.0
426	P403	uh599	scissor	143	10	0.0
427	P403	uh599	paper	33	2	0.0
428	P403	uh599	rock	188	131	0.0
429	P672	bj045	scissor	290	173	0.0
430	P672	bj045	paper	201	22	42.0
431	P672	bj045	rock	273	116	0.0
432	P270	ia493	scissor	145	16	24.0
433	P270	ia493	paper	167	1	62.0
434	P270	ia493	rock	118	1	19.0
435	P872	mi486	scissor	174	5	34.0
436	P872	mi486	paper	131	78	0.0
437	P872	mi486	rock	80	14	0.0
438	P930	vp802	scissor	239	52	1.0
439	P930	vp802	paper	131	76	0.0
440	P930	vp802	rock	103	1	16.0
441	P767	zc953	scissor	98	10	0.0
442	P767	zc953	paper	93	36	0.0
443	P767	zc953	rock	165	99	0.0
444	P870	tj409	scissor	291	14	0.0
445	P870	tj409	paper	244	26	0.0
446	P870	tj409	rock	184	35	0.0
447	P711	xa928	scissor	224	38	24.0
448	P711	xa928	paper	129	73	26.0
449	P711	xa928	rock	227	2	22.0
450	P911	zh239	scissor	235	30	20.0
451	P911	zh239	paper	296	120	0.0
452	P911	zh239	rock	263	67	0.0
453	P269	yy336	scissor	132	24	16.0
454	P269	yy336	paper	275	15	63.0
455	P269	yy336	rock	266	166	0.0
456	P250	us061	scissor	100	16	0.0
457	P250	us061	paper	257	123	42.0
458	P250	us061	rock	258	12	0.0
459	P909	tm871	scissor	130	19	18.0
460	P909	tm871	paper	92	59	0.0
461	P909	tm871	rock	228	177	0.0
462	P289	rn116	scissor	254	81	0.0
463	P289	rn116	paper	77	11	0.0
464	P289	rn116	rock	67	17	15.0
465	P283	qv984	scissor	319	44	14.0
466	P283	qv984	paper	267	148	0.0
467	P283	qv984	rock	172	10	35.0
468	P955	ki823	scissor	120	44	0.0
469	P955	ki823	paper	91	49	0.0
470	P955	ki823	rock	113	24	0.0
471	P909	ji280	scissor	186	84	36.0
472	P909	ji280	paper	83	7	10.0
473	P909	ji280	rock	88	60	0.0
474	P250	ao370	scissor	66	6	0.0
475	P250	ao370	paper	206	27	13.0
476	P250	ao370	rock	173	59	12.0
477	P073	ez165	scissor	139	19	0.0
478	P073	ez165	paper	254	52	0.0
479	P073	ez165	rock	302	149	1.0
480	P492	am900	scissor	378	12	0.0
481	P492	am900	paper	358	28	34.0
482	P492	am900	rock	287	85	9.0
483	P534	yw373	scissor	201	105	3.0
484	P534	yw373	paper	296	90	0.0
485	P534	yw373	rock	197	82	0.0
486	P548	fj348	scissor	57	8	0.0
487	P548	fj348	paper	223	25	39.0
488	P548	fj348	rock	209	94	0.0
489	P930	ch969	scissor	191	76	0.0
490	P930	ch969	paper	159	60	0.0
491	P930	ch969	rock	309	132	53.0
492	P371	nt171	scissor	36	4	0.0
493	P371	nt171	paper	180	19	29.0
494	P371	nt171	rock	159	29	0.0
495	P452	bu305	scissor	242	144	10.0
496	P452	bu305	paper	247	74	12.0
497	P452	bu305	rock	221	34	15.0
498	P469	fp234	scissor	225	87	0.0
499	P469	fp234	paper	314	89	41.0
500	P469	fp234	rock	197	146	0.0
501	P433	yv802	scissor	167	55	0.0
502	P433	yv802	paper	236	88	0.0
503	P433	yv802	rock	203	71	50.0
504	P731	io939	scissor	280	61	55.0
505	P731	io939	paper	110	7	0.0
506	P731	io939	rock	294	84	0.0
507	P489	yi679	scissor	262	36	26.0
508	P489	yi679	paper	215	62	0.0
509	P489	yi679	rock	205	70	0.0
510	P129	my121	scissor	226	59	21.0
511	P129	my121	paper	183	17	0.0
512	P129	my121	rock	50	0	0.0
513	P537	mk173	scissor	313	23	9.0
514	P537	mk173	paper	244	122	49.0
515	P537	mk173	rock	231	2	63.0
516	P374	tu465	scissor	83	4	19.0
517	P374	tu465	paper	202	68	0.0
518	P374	tu465	rock	123	42	0.0
519	P020	yp753	scissor	125	31	0.0
520	P020	yp753	paper	176	134	7.0
521	P020	yp753	rock	177	12	50.0
522	P046	as271	scissor	289	108	0.0
523	P046	as271	paper	149	50	0.0
524	P046	as271	rock	236	15	37.0
525	P646	ek395	scissor	118	9	0.0
526	P646	ek395	paper	108	5	0.0
527	P646	ek395	rock	230	148	13.0
528	P542	cv177	scissor	265	155	0.0
529	P542	cv177	paper	231	151	0.0
530	P542	cv177	rock	130	75	5.0
531	P663	sb378	scissor	250	33	49.0
532	P663	sb378	paper	162	49	0.0
533	P663	sb378	rock	300	77	0.0
534	P534	hi319	scissor	188	4	42.0
535	P534	hi319	paper	84	8	39.0
536	P534	hi319	rock	80	76	0.0
537	P288	yf960	scissor	209	98	0.0
538	P288	yf960	paper	105	6	0.0
539	P288	yf960	rock	150	63	0.0
540	P191	ln835	scissor	288	140	55.0
541	P191	ln835	paper	119	3	54.0
542	P191	ln835	rock	233	8	0.0
543	P891	av139	scissor	92	21	0.0
544	P891	av139	paper	71	5	0.0
545	P891	av139	rock	225	111	0.0
546	P560	ty146	scissor	311	60	9.0
547	P560	ty146	paper	316	12	41.0
548	P560	ty146	rock	266	59	14.0
549	P858	fe904	scissor	221	37	57.0
550	P858	fe904	paper	346	56	37.0
551	P858	fe904	rock	281	35	71.0
552	P607	pn078	scissor	251	105	0.0
553	P607	pn078	paper	255	53	5.0
554	P607	pn078	rock	276	144	3.0
555	P489	nv848	scissor	204	42	14.0
556	P489	nv848	paper	33	6	26.0
557	P489	nv848	rock	113	3	0.0
558	P576	tq365	scissor	114	30	0.0
559	P576	tq365	paper	124	71	0.0
560	P576	tq365	rock	52	38	0.0
561	P069	ch143	scissor	96	43	0.0
562	P069	ch143	paper	110	18	27.0
563	P069	ch143	rock	181	121	0.0
564	P167	gc004	scissor	189	30	0.0
565	P167	gc004	paper	135	82	50.0
566	P167	gc004	rock	58	17	0.0
567	P407	vo140	scissor	229	29	38.0
568	P407	vo140	paper	183	65	0.0
569	P407	vo140	rock	213	18	0.0
570	P465	aa909	scissor	118	11	0.0
571	P465	aa909	paper	212	17	86.0
572	P465	aa909	rock	241	35	81.0
573	P561	ix293	scissor	133	13	0.0
574	P561	ix293	paper	219	132	0.0
575	P561	ix293	rock	162	1	31.0
576	P938	lj090	scissor	137	38	48.0
577	P938	lj090	paper	204	6	50.0
578	P938	lj090	rock	275	66	51.0
579	P121	vs861	scissor	176	75	45.0
580	P121	vs861	paper	108	14	38.0
581	P121	vs861	rock	176	95	0.0
582	P597	qe210	scissor	249	170	27.0
583	P597	qe210	paper	238	166	0.0
584	P597	qe210	rock	167	65	31.0
585	P639	oh225	scissor	180	27	43.0
586	P639	oh225	paper	335	68	0.0
587	P639	oh225	rock	270	9	16.0
588	P907	hm415	scissor	75	3	0.0
589	P907	hm415	paper	201	114	0.0
590	P907	hm415	rock	117	26	1.0
591	P044	qt355	scissor	212	56	0.0
592	P044	qt355	paper	258	31	0.0
593	P044	qt355	rock	200	65	2.0
594	P909	dx510	scissor	78	34	0.0
595	P909	dx510	paper	53	9	0.0
596	P909	dx510	rock	179	16	0.0
597	P796	gu069	scissor	242	50	0.0
598	P796	gu069	paper	77	16	0.0
599	P796	gu069	rock	162	6	46.0
600	P157	fd186	scissor	237	85	0.0
601	P157	fd186	paper	170	17	1.0
602	P157	fd186	rock	241	40	22.0
603	P967	eq988	scissor	208	64	0.0
604	P967	eq988	paper	172	114	0.0
605	P967	eq988	rock	80	27	0.0
606	P041	ux701	scissor	77	32	0.0
607	P041	ux701	paper	282	65	45.0
608	P041	ux701	rock	169	4	0.0
609	P180	wv666	scissor	57	3	0.0
610	P180	wv666	paper	102	17	0.0
611	P180	wv666	rock	220	166	31.0
612	P156	sa864	scissor	57	19	17.0
613	P156	sa864	paper	250	66	28.0
614	P156	sa864	rock	203	14	20.0
615	P159	ii842	scissor	54	19	0.0
616	P159	ii842	paper	156	65	43.0
617	P159	ii842	rock	43	5	0.0
618	P306	zb266	scissor	130	31	0.0
619	P306	zb266	paper	106	29	0.0
620	P306	zb266	rock	249	8	36.0
621	P237	tm685	scissor	183	31	7.0
622	P237	tm685	paper	190	156	0.0
623	P237	tm685	rock	176	1	0.0
624	P885	jn940	scissor	282	22	72.0
625	P885	jn940	paper	155	10	0.0
626	P885	jn940	rock	229	50	0.0
627	P135	rc752	scissor	130	17	0.0
628	P135	rc752	paper	310	87	0.0
629	P135	rc752	rock	202	51	0.0
630	P340	yc979	scissor	70	1	0.0
631	P340	yc979	paper	112	21	3.0
632	P340	yc979	rock	155	56	0.0
633	P954	lz667	scissor	198	73	25.0
634	P954	lz667	paper	221	69	38.0
635	P954	lz667	rock	204	94	59.0
636	P548	xj751	scissor	7	4	0.0
637	P548	xj751	paper	237	183	0.0
638	P548	xj751	rock	279	175	0.0
639	P144	bv432	scissor	197	28	0.0
640	P144	bv432	paper	75	31	0.0
641	P144	bv432	rock	157	27	0.0
642	P246	or627	scissor	241	21	0.0
643	P246	or627	paper	196	73	0.0
644	P246	or627	rock	51	17	0.0
645	P717	ry452	scissor	285	95	0.0
646	P717	ry452	paper	140	33	0.0
647	P717	ry452	rock	240	91	0.0
648	P239	fb571	scissor	214	64	7.0
649	P239	fb571	paper	212	89	0.0
650	P239	fb571	rock	253	29	0.0
651	P878	wq488	scissor	106	2	0.0
652	P878	wq488	paper	89	31	0.0
653	P878	wq488	rock	103	39	0.0
654	P320	lb088	scissor	246	82	103.0
655	P320	lb088	paper	221	17	0.0
656	P320	lb088	rock	152	15	36.0
657	P434	nv446	scissor	245	21	74.0
658	P434	nv446	paper	264	93	0.0
659	P434	nv446	rock	112	6	0.0
660	P497	vg312	scissor	113	25	0.0
661	P497	vg312	paper	188	185	0.0
662	P497	vg312	rock	113	18	0.0
663	P338	or138	scissor	223	83	0.0
664	P338	or138	paper	316	60	44.0
665	P338	or138	rock	176	6	0.0
666	P004	py078	scissor	246	55	0.0
667	P004	py078	paper	238	19	0.0
668	P004	py078	rock	337	171	48.0
669	P458	hj325	scissor	277	64	37.0
670	P458	hj325	paper	238	51	36.0
671	P458	hj325	rock	333	37	0.0
672	P631	eg653	scissor	234	190	0.0
673	P631	eg653	paper	181	8	11.0
674	P631	eg653	rock	90	16	32.0
675	P830	si856	scissor	224	151	6.0
676	P830	si856	paper	260	3	0.0
677	P830	si856	rock	235	0	82.0
678	P143	hw150	scissor	67	42	0.0
679	P143	hw150	paper	233	72	75.0
680	P143	hw150	rock	245	130	0.0
681	P742	vk778	scissor	108	12	0.0
682	P742	vk778	paper	174	31	2.0
683	P742	vk778	rock	248	115	37.0
684	P380	fb717	scissor	227	116	0.0
685	P380	fb717	paper	257	108	25.0
686	P380	fb717	rock	234	27	25.0
